city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
,2012-10-28,T20,"{by={runs=5}, winner=Bangladesh}",20,[Salma Khatun],Guanggong International Cricket Stadium,Bangladesh,Bangladesh, Sri Lanka,field
Mumbai,2013-02-01,ODI,"{by={wickets=1}, winner=Sri Lanka}",50,[LE Kaushalya],Brabourne Stadium,Sri Lanka,England, Sri Lanka,field
Mumbai,2013-02-05,ODI,"{by={runs=138}, winner=Sri Lanka}",50,[HMD Rasangika],Brabourne Stadium,Sri Lanka,India, Sri Lanka,bat
Mumbai,2013-02-10,ODI,"{by={wickets=9}, winner=Australia}",50,[EA Osborne],Brabourne Stadium,Australia,Australia, Australia,field
Jamaica,2013-06-28,ODI,"{by={wickets=6}, winner=West Indies}",50,[CH Gayle],"Sabina Park, Kingston",West Indies,West Indies, West Indies,field
Jamaica,2013-07-02,ODI,"{by={runs=161}, winner=Sri Lanka}",50,[WU Tharanga],"Sabina Park, Kingston",Sri Lanka,India, India,field
Trinidad,"2013-07-07, 2013-07-08",ODI,"{by={runs=39}, method=D/L, winner=Sri Lanka}",50,[KC Sangakkara],"Queen's Park Oval, Port of Spain",Sri Lanka,West Indies, West Indies,field
Trinidad,2013-07-09,ODI,"{by={runs=81}, method=D/L, winner=India}",50,[B Kumar],"Queen's Park Oval, Port of Spain",India,India, Sri Lanka,field
Trinidad,2013-07-11,ODI,"{by={wickets=1}, winner=India}",50,[MS Dhoni],"Queen's Park Oval, Port of Spain",India,India, India,field
,"2013-03-08, 2013-03-09, 2013-03-10, 2013-03-11, 2013-03-12",Test,{result=draw},,[Mushfiqur Rahim],Galle International Stadium,draw, Bangladesh, Sri Lanka,bat
Colombo,"2013-03-16, 2013-03-17, 2013-03-18, 2013-03-19",Test,"{by={wickets=7}, winner=Sri Lanka}",,[HMRKB Herath],R Premadasa Stadium,Sri Lanka, Bangladesh, Sri Lanka,field
Hambantota,2013-03-23,ODI,"{by={wickets=8}, method=D/L, winner=Sri Lanka}",50,[TM Dilshan],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Bangladesh, Sri Lanka,field
Hambantota,2013-03-25,ODI,{result=no result},50,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",no result, Bangladesh, Bangladesh,field
,2013-03-28,ODI,"{by={wickets=3}, method=D/L, winner=Bangladesh}",50,[TM Dilshan],Pallekele International Cricket Stadium,Bangladesh, Bangladesh, Sri Lanka,bat
,2013-03-31,T20,"{by={runs=17}, winner=Sri Lanka}",20,[MDKJ Perera],Pallekele International Cricket Stadium,Sri Lanka, Bangladesh, Bangladesh,field
,2013-02-22,ODI,"{by={wickets=4}, winner=West Indies}",50,,Rangiri Dambulla International Stadium,West Indies, West Indies, Sri Lanka,bat
,2013-02-24,ODI,"{by={wickets=4}, winner=Sri Lanka}",50,,Rangiri Dambulla International Stadium,Sri Lanka, West Indies, West Indies,bat
,2013-02-26,ODI,"{by={runs=33}, winner=West Indies}",50,,Rangiri Dambulla International Stadium,West Indies, West Indies, Sri Lanka,field
Colombo,2013-03-03,T20,"{by={wickets=6}, winner=West Indies}",20,,R Premadasa Stadium,West Indies, West Indies, Sri Lanka,bat
Colombo,2013-03-05,T20,"{by={runs=34}, winner=West Indies}",20,,R Premadasa Stadium,West Indies, West Indies, Sri Lanka,field
Colombo,2013-03-08,T20,"{by={runs=7}, winner=West Indies}",20,,R Premadasa Stadium,West Indies, West Indies, West Indies,bat
Colombo,2013-07-20,ODI,"{by={runs=180}, winner=Sri Lanka}",50,[KC Sangakkara],R Premadasa Stadium,Sri Lanka, South Africa, South Africa,field
Colombo,2013-07-23,ODI,"{by={runs=17}, method=D/L, winner=Sri Lanka}",50,[LD Chandimal],R Premadasa Stadium,Sri Lanka, South Africa, Sri Lanka,bat
,2013-07-26,ODI,"{by={runs=56}, winner=South Africa}",50,[DA Miller],Pallekele International Cricket Stadium,South Africa, South Africa, South Africa,bat
,2013-07-28,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[TM Dilshan],Pallekele International Cricket Stadium,Sri Lanka, South Africa, South Africa,bat
Colombo,2013-07-31,ODI,"{by={runs=128}, winner=Sri Lanka}",50,[TM Dilshan],R Premadasa Stadium,Sri Lanka, South Africa, Sri Lanka,bat
Colombo,2013-08-02,T20,"{by={runs=12}, winner=South Africa}",20,[JP Duminy],R Premadasa Stadium,South Africa, South Africa, South Africa,bat
Hambantota,2013-08-04,T20,"{by={runs=22}, winner=South Africa}",20,[DA Miller],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa, South Africa, South Africa,bat
Hambantota,2013-08-06,T20,"{by={wickets=6}, winner=Sri Lanka}",20,[TM Dilshan],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, South Africa, South Africa,bat
Dublin,2013-07-25,IT20,"{by={wickets=10}, winner=Sri Lanka}",20,[LE Kaushalya],Merrion Cricket Club Ground,Sri Lanka,Japan, Sri Lanka,field
Dublin,2013-07-29,IT20,"{by={runs=33}, method=D/L, winner=Sri Lanka}",20,[HMD Rasangika],YMCA Cricket Club,Sri Lanka,Netherlands, Netherlands,field
Dublin,"2013-07-31, 2013-08-01",T20,{result=no result},20,,YMCA Cricket Club,no result,Pakistan, Sri Lanka,field
Christchurch,2015-02-14,ODI,"{by={runs=98}, winner=New Zealand}",50,[CJ Anderson],Hagley Oval,New Zealand,New Zealand, Sri Lanka,field
Dunedin,2015-02-22,ODI,"{by={wickets=4}, winner=Sri Lanka}",50,[DPMD Jayawardene],University Oval,Sri Lanka,Afghanistan, Sri Lanka,field
,2015-02-26,ODI,"{by={runs=92}, winner=Sri Lanka}",50,[TM Dilshan],Melbourne Cricket Ground,Sri Lanka,Bangladesh, Sri Lanka,bat
Wellington,2015-03-01,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[KC Sangakkara],Westpac Stadium,Sri Lanka,England, England,bat
,2015-03-08,ODI,"{by={runs=64}, winner=Australia}",50,[GJ Maxwell],Sydney Cricket Ground,Australia,Australia, Australia,bat
Hobart,2015-03-11,ODI,"{by={runs=148}, winner=Sri Lanka}",50,[KC Sangakkara],Bellerive Oval,Sri Lanka,Scotland, Sri Lanka,bat
,2015-03-18,ODI,"{by={wickets=9}, winner=South Africa}",50,[Imran Tahir],Sydney Cricket Ground,South Africa,South Africa, Sri Lanka,bat
,2013-12-11,T20,"{by={wickets=3}, winner=Pakistan}",20,[Shahid Afridi],Dubai International Cricket Stadium,Pakistan,Pakistan, Pakistan,field
,2013-12-13,T20,"{by={runs=24}, winner=Sri Lanka}",20,[MDKJ Perera],Dubai International Cricket Stadium,Sri Lanka,Pakistan, Pakistan,field
,2013-12-18,ODI,"{by={runs=11}, winner=Pakistan}",50,[Mohammad Hafeez],Sharjah Cricket Stadium,Pakistan,Pakistan, Pakistan,bat
,2013-12-20,ODI,"{by={wickets=2}, winner=Sri Lanka}",50,[AD Mathews],Dubai International Cricket Stadium,Sri Lanka,Pakistan, Sri Lanka,field
,2013-12-22,ODI,"{by={runs=113}, winner=Pakistan}",50,[Mohammad Hafeez],Sharjah Cricket Stadium,Pakistan,Pakistan, Sri Lanka,field
Abu Dhabi,2013-12-25,ODI,"{by={wickets=8}, winner=Pakistan}",50,[Mohammad Hafeez],Sheikh Zayed Stadium,Pakistan,Pakistan, Sri Lanka,bat
Abu Dhabi,2013-12-27,ODI,"{by={wickets=2}, winner=Sri Lanka}",50,[LD Chandimal],Sheikh Zayed Stadium,Sri Lanka,Pakistan, Pakistan,bat
Abu Dhabi,"2013-12-31, 2014-01-01, 2014-01-02, 2014-01-03, 2014-01-04",Test,{result=draw},,[AD Mathews],Sheikh Zayed Stadium,draw,Pakistan, Pakistan,field
,"2014-01-08, 2014-01-09, 2014-01-10, 2014-01-11, 2014-01-12",Test,"{by={wickets=9}, winner=Sri Lanka}",,[DPMD Jayawardene],Dubai International Cricket Stadium,Sri Lanka,Pakistan, Sri Lanka,field
,"2014-01-16, 2014-01-17, 2014-01-18, 2014-01-19, 2014-01-20",Test,"{by={wickets=5}, winner=Pakistan}",,[Azhar Ali],Sharjah Cricket Stadium,Pakistan,Pakistan, Sri Lanka,bat
London,2014-05-20,T20,"{by={runs=9}, winner=Sri Lanka}",20,[NLTC Perera],Kennington Oval,Sri Lanka,England, England,field
London,2014-05-22,ODI,"{by={runs=81}, method=D/L, winner=England}",50,[CJ Jordan],Kennington Oval,England,England, Sri Lanka,field
Chester-le-Street,2014-05-25,ODI,"{by={runs=157}, winner=Sri Lanka}",50,[TM Dilshan],Riverside Ground,Sri Lanka,England, England,field
Manchester,2014-05-28,ODI,"{by={wickets=10}, winner=England}",50,[CJ Jordan],Old Trafford,England,England, England,field
London,2014-05-31,ODI,"{by={runs=7}, winner=Sri Lanka}",50,[JC Buttler],Lord's,Sri Lanka,England, England,field
Birmingham,2014-06-03,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[HDRL Thirimanne],Edgbaston,Sri Lanka,England, England,bat
London,"2014-06-12, 2014-06-13, 2014-06-14, 2014-06-15, 2014-06-16",Test,{result=draw},,[JE Root],Lord's,draw,England, Sri Lanka,field
Leeds,"2014-06-20, 2014-06-21, 2014-06-22, 2014-06-23, 2014-06-24",Test,"{by={runs=100}, winner=Sri Lanka}",,[AD Mathews],Headingley,Sri Lanka,England, England,field
Potchefstroom,2013-10-26,ODI,"{by={runs=67}, winner=South Africa}",50,[M du Preez],Senwes Park,South Africa,South Africa, Sri Lanka,field
Potchefstroom,2013-10-28,ODI,{result=no result},50,,Senwes Park,no result,South Africa, South Africa,field
Potchefstroom,2013-10-31,T20,"{by={wickets=7}, winner=South Africa}",20,[HML Madushani],Senwes Park,South Africa,South Africa, South Africa,field
Potchefstroom,2013-11-02,T20,"{by={runs=20}, winner=Sri Lanka}",20,[HASD Siriwardene],Senwes Park,Sri Lanka,South Africa, South Africa,field
Potchefstroom,2013-11-04,T20,"{by={wickets=5}, winner=South Africa}",20,[S Loubser],Senwes Park,South Africa,South Africa, South Africa,field
Hambantota,2013-11-10,ODI,{result=no result},50,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",no result, New Zealand, New Zealand,field
Hambantota,2013-11-12,ODI,"{by={wickets=4}, method=D/L, winner=New Zealand}",50,[TWM Latham],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",New Zealand, New Zealand, Sri Lanka,bat
,2013-11-16,ODI,"{by={runs=36}, method=D/L, winner=Sri Lanka}",50,[SMSM Senanayake],Rangiri Dambulla International Stadium,Sri Lanka, New Zealand, New Zealand,field
,2013-11-21,T20,"{by={wickets=8}, winner=Sri Lanka}",20,[MDKJ Perera],Pallekele International Cricket Stadium,Sri Lanka, New Zealand, Sri Lanka,field
Chittagong,2014-03-22,T20,"{by={runs=5}, winner=Sri Lanka}",20,[MDKJ Perera],Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa, Sri Lanka,bat
Chittagong,2014-03-24,T20,"{by={wickets=9}, winner=Sri Lanka}",20,[AD Mathews],Zahur Ahmed Chowdhury Stadium,Sri Lanka,Netherlands, Sri Lanka,field
Chittagong,2014-03-27,T20,"{by={wickets=6}, winner=England}",20,[AD Hales],Zahur Ahmed Chowdhury Stadium,England,England, England,field
Chittagong,2014-03-31,T20,"{by={runs=59}, winner=Sri Lanka}",20,[HMRKB Herath],Zahur Ahmed Chowdhury Stadium,Sri Lanka,New Zealand, New Zealand,field
Mirpur,2014-04-03,T20,"{by={runs=27}, method=D/L, winner=Sri Lanka}",20,[AD Mathews],Shere Bangla National Stadium,Sri Lanka, West Indies, Sri Lanka,bat
Mirpur,2014-04-06,T20,"{by={wickets=6}, winner=Sri Lanka}",20,[KC Sangakkara],Shere Bangla National Stadium,Sri Lanka,India, Sri Lanka,field
,2014-03-24,T20,"{by={runs=22}, winner=Sri Lanka}",20,[KDU Prabodhani],Sylhet Stadium,Sri Lanka,India, Sri Lanka,bat
,2014-03-28,T20,"{by={wickets=8}, winner=West Indies}",20,[SF Daley],Sylhet Stadium,West Indies, West Indies, Sri Lanka,bat
,2014-03-30,T20,"{by={wickets=7}, winner=England}",20,[A Shrubsole],Sylhet Stadium,England,England, Sri Lanka,bat
,2014-04-01,T20,"{by={runs=3}, winner=Bangladesh}",20,[Rumana Ahmed],Sylhet Stadium,Bangladesh,Bangladesh, Bangladesh,bat
,2014-04-02,T20,"{by={wickets=6}, winner=New Zealand}",20,[RH Priest],Sylhet Stadium,New Zealand,New Zealand, Sri Lanka,bat
Mirpur,"2014-01-27, 2014-01-28, 2014-01-29, 2014-01-30",Test,"{by={innings=1, runs=248}, winner=Sri Lanka}",,[DPMD Jayawardene],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Sri Lanka,field
Chittagong,"2014-02-04, 2014-02-05, 2014-02-06, 2014-02-07, 2014-02-08",Test,{result=draw},,[KC Sangakkara],Zahur Ahmed Chowdhury Stadium,draw,Bangladesh, Sri Lanka,bat
Chittagong,2014-02-12,T20,"{by={runs=2}, winner=Sri Lanka}",20,[MDKJ Perera],Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bangladesh, Bangladesh,field
Chittagong,2014-02-14,T20,"{by={wickets=3}, winner=Sri Lanka}",20,[NLTC Perera],Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bangladesh, Bangladesh,bat
Mirpur,2014-02-17,ODI,"{by={runs=13}, winner=Sri Lanka}",50,[NLTC Perera],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Bangladesh,field
Mirpur,2014-02-20,ODI,"{by={runs=61}, winner=Sri Lanka}",50,[KC Sangakkara],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Sri Lanka,bat
Mirpur,2014-02-22,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[MDKJ Perera],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Sri Lanka,field
Dublin,2014-05-06,ODI,"{by={runs=79}, winner=Sri Lanka}",50,[BAW Mendis],Clontarf Cricket Club Ground,Sri Lanka,Ireland, Ireland,field
Fatullah,2014-02-25,ODI,"{by={runs=12}, winner=Sri Lanka}",50,[SL Malinga],Khan Shaheb Osman Ali Stadium,Sri Lanka,Pakistan, Sri Lanka,bat
Fatullah,2014-02-28,ODI,"{by={wickets=2}, winner=Sri Lanka}",50,[KC Sangakkara],Khan Shaheb Osman Ali Stadium,Sri Lanka,India, Sri Lanka,field
Mirpur,2014-03-03,ODI,"{by={runs=129}, winner=Sri Lanka}",50,[KC Sangakkara],Shere Bangla National Stadium,Sri Lanka,Afghanistan, Sri Lanka,bat
Mirpur,2014-03-06,ODI,"{by={wickets=3}, winner=Sri Lanka}",50,[AD Mathews],Shere Bangla National Stadium,Sri Lanka,Bangladesh, Bangladesh,bat
Mirpur,2014-03-08,ODI,"{by={wickets=5}, winner=Sri Lanka}",50,[SL Malinga],Shere Bangla National Stadium,Sri Lanka,Pakistan, Pakistan,bat
,2014-04-03,T20,"{by={runs=14}, winner=Pakistan}",20,[Bismah Maroof],Sylhet Stadium,Pakistan,Pakistan, Pakistan,bat
Colombo,2014-07-06,ODI,"{by={runs=75}, winner=South Africa}",50,[HM Amla],R Premadasa Stadium,South Africa, South Africa, South Africa,bat
,2014-07-09,ODI,"{by={runs=87}, winner=Sri Lanka}",50,[TM Dilshan],Pallekele International Cricket Stadium,Sri Lanka, South Africa, Sri Lanka,bat
Hambantota,2014-07-12,ODI,"{by={runs=82}, winner=South Africa}",50,[AB de Villiers],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa, South Africa, South Africa,bat
,"2014-07-16, 2014-07-17, 2014-07-18, 2014-07-19, 2014-07-20",Test,"{by={runs=153}, winner=South Africa}",,[DW Steyn],Galle International Stadium,South Africa, South Africa, South Africa,bat
Colombo,"2014-07-24, 2014-07-25, 2014-07-26, 2014-07-27, 2014-07-28",Test,{result=draw},,[DPMD Jayawardene],Sinhalese Sports Club Ground,draw, South Africa, Sri Lanka,bat
,"2014-08-06, 2014-08-07, 2014-08-08, 2014-08-09, 2014-08-10",Test,"{by={wickets=7}, winner=Sri Lanka}",,[HMRKB Herath],Galle International Stadium,Sri Lanka, Pakistan, Pakistan,bat
Colombo,"2014-08-14, 2014-08-15, 2014-08-16, 2014-08-17, 2014-08-18",Test,"{by={runs=105}, winner=Sri Lanka}",,[HMRKB Herath],Sinhalese Sports Club Ground,Sri Lanka, Pakistan, Sri Lanka,bat
Hambantota,2014-08-23,ODI,"{by={wickets=4}, method=D/L, winner=Pakistan}",50,[Sohaib Maqsood],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan, Pakistan, Pakistan,field
Hambantota,2014-08-26,ODI,"{by={runs=77}, winner=Sri Lanka}",50,[NLTC Perera],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Pakistan, Sri Lanka,bat
,2014-08-30,ODI,"{by={wickets=7}, method=D/L, winner=Sri Lanka}",50,[NLTC Perera],Rangiri Dambulla International Stadium,Sri Lanka, Pakistan, Pakistan,bat
Christchurch,"2014-12-26, 2014-12-27, 2014-12-28, 2014-12-29",Test,"{by={wickets=8}, winner=New Zealand}",,[BB McCullum],Hagley Oval,New Zealand,New Zealand, Sri Lanka,field
Wellington,"2015-01-03, 2015-01-04, 2015-01-05, 2015-01-06, 2015-01-07",Test,"{by={runs=193}, winner=New Zealand}",,[KS Williamson],Basin Reserve,New Zealand,New Zealand, Sri Lanka,field
Christchurch,2015-01-11,ODI,"{by={wickets=3}, winner=New Zealand}",50,[CJ Anderson],Hagley Oval,New Zealand,New Zealand, Sri Lanka,bat
Hamilton,2015-01-15,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[TM Dilshan],Seddon Park,Sri Lanka,New Zealand, New Zealand,bat
Auckland,2015-01-17,ODI,{result=no result},50,,Eden Park,no result,New Zealand, Sri Lanka,field
Nelson,2015-01-20,ODI,"{by={wickets=4}, winner=New Zealand}",50,[KS Williamson],Saxton Oval,New Zealand,New Zealand, Sri Lanka,bat
Dunedin,2015-01-23,ODI,"{by={runs=108}, winner=New Zealand}",50,"[GD Elliott, L Ronchi]",University Oval,New Zealand,New Zealand, Sri Lanka,field
Dunedin,2015-01-25,ODI,"{by={runs=120}, winner=New Zealand}",50,[CJ Anderson],University Oval,New Zealand,New Zealand, New Zealand,bat
Wellington,2015-01-29,ODI,"{by={runs=34}, winner=Sri Lanka}",50,[KC Sangakkara],Westpac Stadium,Sri Lanka,New Zealand, Sri Lanka,bat
Colombo,2014-11-26,ODI,"{by={runs=25}, winner=Sri Lanka}",50,[TM Dilshan],R Premadasa Stadium,Sri Lanka, England, England,field
Colombo,2014-11-29,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[DPMD Jayawardene],R Premadasa Stadium,Sri Lanka, England, England,bat
Hambantota,2014-12-03,ODI,"{by={wickets=5}, method=D/L, winner=England}",50,[JC Buttler],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",England, England, Sri Lanka,bat
Colombo,2014-12-07,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[KC Sangakkara],R Premadasa Stadium,Sri Lanka, England, England,bat
,"2014-12-10, 2014-12-11",ODI,"{by={wickets=5}, winner=England}",50,[JE Root],Pallekele International Cricket Stadium,England, England, England,field
,2014-12-13,ODI,"{by={runs=90}, winner=Sri Lanka}",50,[KC Sangakkara],Pallekele International Cricket Stadium,Sri Lanka, England, Sri Lanka,bat
Colombo,2014-12-16,ODI,"{by={runs=87}, winner=Sri Lanka}",50,[TM Dilshan],R Premadasa Stadium,Sri Lanka, England, Sri Lanka,bat
Colombo,"2014-10-17, 2014-10-18",ODI,{result=no result},50,,Sinhalese Sports Club Ground,no result, South Africa, Sri Lanka,bat
Colombo,2014-10-19,ODI,"{by={wickets=4}, winner=Sri Lanka}",50,[AC Jayangani],Sinhalese Sports Club Ground,Sri Lanka, South Africa, Sri Lanka,field
Colombo,2014-10-21,ODI,"{by={wickets=5}, winner=South Africa}",50,[T Chetty],Sinhalese Sports Club Ground,South Africa, South Africa, South Africa,field
Colombo,2014-10-23,T20,"{by={runs=7}, winner=Sri Lanka}",20,[HASD Siriwardene],Colts Cricket Club Ground,Sri Lanka, South Africa, Sri Lanka,bat
Colombo,2014-10-25,T20,"{by={wickets=7}, winner=South Africa}",20,[D van Niekerk],Colts Cricket Club Ground,South Africa, South Africa, Sri Lanka,bat
Colombo,2014-10-26,T20,"{by={wickets=9}, winner=South Africa}",20,[D van Niekerk],Mercantile Cricket Association Ground,South Africa, South Africa, Sri Lanka,bat
Incheon,2014-09-23,IT20,"{by={runs=82}, winner=Sri Lanka}",20,,Yeonhui Cricket Ground,Sri Lanka,Hong Kong, Sri Lanka,bat
Incheon,2014-09-25,IT20,"{by={runs=25}, winner=Bangladesh}",20,,Yeonhui Cricket Ground,Bangladesh,Bangladesh, Bangladesh,bat
Incheon,2014-09-26,IT20,"{by={wickets=5}, winner=Sri Lanka}",20,,Yeonhui Cricket Ground,Sri Lanka,China, China,bat
Incheon,2014-09-30,IT20,"{by={runs=117}, winner=Sri Lanka}",20,,Yeonhui Cricket Ground,Sri Lanka,South Korea, South Korea,field
Incheon,2014-10-02,IT20,{result=no result},20,,Yeonhui Cricket Ground,no result,Bangladesh, Sri Lanka,field
Incheon,2014-10-03,IT20,"{by={runs=68}, winner=Sri Lanka}",20,,Yeonhui Cricket Ground,Sri Lanka,Afghanistan, Sri Lanka,bat
Cuttack,2014-11-02,ODI,"{by={runs=169}, winner=India}",50,[AM Rahane],Barabati Stadium,India,India, Sri Lanka,field
Ahmedabad,2014-11-06,ODI,"{by={wickets=6}, winner=India}",50,[AT Rayudu],"Sardar Patel Stadium, Motera",India,India, Sri Lanka,bat
Hyderabad,2014-11-09,ODI,"{by={wickets=6}, winner=India}",50,[DPMD Jayawardene],"Rajiv Gandhi International Stadium, Uppal",India,India, Sri Lanka,bat
Kolkata,2014-11-13,ODI,"{by={runs=153}, winner=India}",50,[RG Sharma],Eden Gardens,India,India, India,bat
Ranchi,2014-11-16,ODI,"{by={wickets=3}, winner=India}",50,[AD Mathews],JSCA International Stadium Complex,India,India, Sri Lanka,bat
,2015-01-11,ODI,"{by={runs=12}, winner=Pakistan}",50,[Sana Mir],Sharjah Cricket Stadium,Pakistan,Pakistan, Pakistan,bat
,2015-01-13,ODI,"{by={wickets=7}, winner=Pakistan}",50,[Javeria Khan],Sharjah Cricket Stadium,Pakistan,Pakistan, Sri Lanka,bat
,2015-01-16,T20,"{by={runs=55}, winner=Pakistan}",20,[Sana Mir],Sharjah Cricket Stadium,Pakistan,Pakistan, Pakistan,bat
,2015-01-17,T20,"{by={wickets=5}, winner=Sri Lanka}",20,[AC Jayangani],Sharjah Cricket Stadium,Sri Lanka,Pakistan, Pakistan,bat
Colombo,2015-05-23,T20,"{by={runs=5}, method=D/L, winner=Sri Lanka}",20,[SS Weerakkody],R Premadasa Stadium,Sri Lanka, West Indies, Sri Lanka,field
Colombo,2015-05-25,T20,"{by={wickets=8}, winner=West Indies}",20,[SR Taylor],R Premadasa Stadium,West Indies, West Indies, Sri Lanka,bat
Colombo,2015-05-26,T20,"{by={wickets=9}, winner=West Indies}",20,[HK Matthews],R Premadasa Stadium,West Indies, West Indies, West Indies,field
,"2015-06-17, 2015-06-18, 2015-06-19, 2015-06-20, 2015-06-21",Test,"{by={wickets=10}, winner=Pakistan}",,[Sarfraz Ahmed],Galle International Stadium,Pakistan, Pakistan, Pakistan,field
Colombo,"2015-06-25, 2015-06-26, 2015-06-27, 2015-06-28, 2015-06-29",Test,"{by={wickets=7}, winner=Sri Lanka}",,[KTGD Prasad],P Sara Oval,Sri Lanka, Pakistan, Pakistan,bat
,"2015-07-03, 2015-07-04, 2015-07-05, 2015-07-06, 2015-07-07",Test,"{by={wickets=7}, winner=Pakistan}",,[Younis Khan],Pallekele International Cricket Stadium,Pakistan, Pakistan, Pakistan,field
,2015-07-11,ODI,"{by={wickets=6}, winner=Pakistan}",50,[Mohammad Hafeez],Rangiri Dambulla International Stadium,Pakistan, Pakistan, Pakistan,field
,2015-07-15,ODI,"{by={wickets=2}, winner=Sri Lanka}",50,[MDKJ Perera],Pallekele International Cricket Stadium,Sri Lanka, Pakistan, Pakistan,bat
Colombo,2015-07-19,ODI,"{by={runs=135}, winner=Pakistan}",50,[Sarfraz Ahmed],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2015-07-22,ODI,"{by={wickets=7}, winner=Pakistan}",50,[Ahmed Shehzad],R Premadasa Stadium,Pakistan, Pakistan, Sri Lanka,bat
Hambantota,2015-07-26,ODI,"{by={runs=165}, winner=Sri Lanka}",50,[MDKJ Perera],"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka, Pakistan, Sri Lanka,bat
Colombo,2015-07-30,T20,"{by={runs=29}, winner=Pakistan}",20,[Sohail Tanvir],R Premadasa Stadium,Pakistan, Pakistan, Pakistan,bat
Colombo,2015-08-01,T20,"{by={wickets=1}, winner=Pakistan}",20,[Anwar Ali],R Premadasa Stadium,Pakistan, Pakistan, Sri Lanka,bat
,"2015-08-12, 2015-08-13, 2015-08-14, 2015-08-15",Test,"{by={runs=63}, winner=Sri Lanka}",,[LD Chandimal],Galle International Stadium,Sri Lanka, India, Sri Lanka,bat
Colombo,"2015-08-20, 2015-08-21, 2015-08-22, 2015-08-23, 2015-08-24",Test,"{by={runs=278}, winner=India}",,[KL Rahul],P Sara Oval,India, India, India,bat
Colombo,"2015-08-28, 2015-08-29, 2015-08-30, 2015-08-31, 2015-09-01",Test,"{by={runs=117}, winner=India}",,[CA Pujara],Sinhalese Sports Club Ground,India, India, Sri Lanka,field
Leeds,"2016-05-19, 2016-05-20, 2016-05-21",Test,"{by={innings=1, runs=88}, winner=England}",,[JM Bairstow],Headingley,England,England, Sri Lanka,field
Chester-le-Street,"2016-05-27, 2016-05-28, 2016-05-29, 2016-05-30",Test,"{by={wickets=9}, winner=England}",,[JM Anderson],Riverside Ground,England,England, England,bat
London,"2016-06-09, 2016-06-10, 2016-06-11, 2016-06-12, 2016-06-13",Test,{result=draw},,[JM Bairstow],Lord's,draw,England, England,bat
Dublin,2016-06-18,ODI,"{by={runs=136}, winner=Sri Lanka}",50,,"The Village, Malahide",Sri Lanka,Ireland, Ireland,field
Nottingham,2016-06-21,ODI,{result=tie},50,[CR Woakes],Trent Bridge,tie,England, England,field
Birmingham,2016-06-24,ODI,"{by={wickets=10}, winner=England}",50,[JJ Roy],Edgbaston,England,England, Sri Lanka,bat
Bristol,2016-06-26,ODI,{result=no result},50,,County Ground,no result,England, England,field
London,2016-06-29,ODI,"{by={wickets=6}, method=D/L, winner=England}",50,[JJ Roy],Kennington Oval,England,England, England,field
Cardiff,2016-07-02,ODI,"{by={runs=122}, winner=England}",50,[JC Buttler],Sophia Gardens,England,England, Sri Lanka,field
Southampton,2016-07-05,T20,"{by={wickets=8}, winner=England}",20,[JC Buttler],The Rose Bowl,England,England, Sri Lanka,bat
Dunedin,"2015-12-10, 2015-12-11, 2015-12-12, 2015-12-13, 2015-12-14",Test,"{by={runs=122}, winner=New Zealand}",,[MJ Guptill],University Oval,New Zealand,New Zealand, Sri Lanka,field
Hamilton,"2015-12-18, 2015-12-19, 2015-12-20, 2015-12-21",Test,"{by={wickets=5}, winner=New Zealand}",,[KS Williamson],Seddon Park,New Zealand,New Zealand, New Zealand,field
Christchurch,2015-12-26,ODI,"{by={wickets=7}, winner=New Zealand}",50,[MJ Henry],Hagley Oval,New Zealand,New Zealand, Sri Lanka,bat
