city,dates,match_type,outcome,overs,player_of_match,venue,winner,opposition,toss_winner,toss_decision
Guyana,2007-04-01,ODI,"{by={runs=113}, winner=Sri Lanka}",50,[ST Jayasuriya],Providence Stadium,Sri Lanka,West Indies, West Indies,field
Antigua,2007-04-04,ODI,"{by={runs=2}, winner=Sri Lanka}",50,[RS Bopara],"Sir Vivian Richards Stadium, North Sound",Sri Lanka,England, England,field
Grenada,2007-04-12,ODI,"{by={wickets=6}, winner=Sri Lanka}",50,[WPUJC Vaas],"National Cricket Stadium, St George's",Sri Lanka,New Zealand, New Zealand,bat
Grenada,2007-04-16,ODI,"{by={wickets=7}, winner=Australia}",50,[NW Bracken],"National Cricket Stadium, St George's",Australia,Australia, Sri Lanka,bat
Grenada,2007-04-18,ODI,"{by={wickets=8}, winner=Sri Lanka}",50,[MF Maharoof],"National Cricket Stadium, St George's",Sri Lanka,Ireland, Sri Lanka,field
Jamaica,2007-04-24,ODI,"{by={runs=81}, winner=Sri Lanka}",50,[DPMD Jayawardene],"Sabina Park, Kingston",Sri Lanka,New Zealand, Sri Lanka,bat
Barbados,2007-04-28,ODI,"{by={runs=53}, method=D/L, winner=Australia}",50,[AC Gilchrist],"Kensington Oval, Bridgetown",Australia,Australia, Australia,bat
Chandigarh,2006-10-07,ODI,"{by={runs=37}, winner=Sri Lanka}",50,[WU Tharanga],"Punjab Cricket Association Stadium, Mohali",Sri Lanka,Bangladesh, Bangladesh,field
Ahmedabad,2006-10-10,ODI,"{by={runs=144}, winner=Sri Lanka}",50,[WU Tharanga],"Sardar Patel Stadium, Motera",Sri Lanka, Zimbabwe, Sri Lanka,bat
Mumbai,2006-10-14,ODI,"{by={wickets=9}, winner=Sri Lanka}",50,[MF Maharoof],Brabourne Stadium,Sri Lanka, West Indies, West Indies,bat
Jaipur,2006-10-17,ODI,"{by={wickets=4}, winner=Pakistan}",50,[Abdul Razzaq],Sawai Mansingh Stadium,Pakistan,Pakistan, Sri Lanka,bat
Mumbai,2006-10-20,ODI,"{by={wickets=7}, winner=Sri Lanka}",50,[M Muralitharan],Brabourne Stadium,Sri Lanka,New Zealand, New Zealand,bat
Ahmedabad,2006-10-24,ODI,"{by={runs=78}, winner=South Africa}",50,[SM Pollock],"Sardar Patel Stadium, Motera",South Africa,South Africa, Sri Lanka,field
